"","vocab"
"1","develop framework climat_develop chang_develop develop_climat develop_chang support develop_develop progress develop_framework"
"2","coastal rise sea sea-level sea_rise coast delta storm beach protect"
"3","design new propos exist structur engin applic standard requir consid"
"4","pattern differ analysi variabl scale variat relationship across among spatial"
"5","global world global_chang america climat_global global_climat glacier chang_global chang nan"
"6","assess scenario assess_climat assess_chang chang climat socioeconom climat_assess chang_assess impact"
"7","health diseas pollut air public climat_health health_climat popul chang_health impact"
"8","associ exposur age increas 95 mortal heatwav day effect death"
"9","transit india enhanc opportun potenti trade-off promot agroforestri contribut toward"
"10","crop yield rice wheat cultiv varieti climat_crop date growth cultivar"
"11","impact cycl life assess wast use materi footprint potenti life_assess"
"12","report point author earli sourc uk warn programm open provid"
"13","water resourc water_manag scarciti climat_water water_water nexus water_system wastewat manag_water"
"14","factor effect influenc higher signific result drive posit regress wind"
"15","conserv protect biodivers area threaten network divers prioriti habitat bird"
"16","manag resourc manag_chang manag_climat chang_manag adapt_manag climat_manag manag_adapt strategi manag_manag"
"17","environ cool effect roof condit comfort settlement strategi reduc shade"
"18","popul genet divers select adapt genom evolutionari wild gene associ"
"19","right reserv elsevi elsevi_right elsevi_reserv ltd ltd_reserv b.v b.v_reserv 2016"
"20","rainfal intens frequenc distribut heavi occurr threshold durat rain monsoon"
"21","emiss greenhous gas reduct co2 greenhous_emiss ghg reduc reduc_emiss gase"
"22","differ analys driver import find influenc show also result multipl"
"23","flood damag insur increas flood_manag flood_flood measur risk_flood chang_flood climat_flood"
"24","speci distribut habitat rang invas suitabl potenti predict nich shift"
"25","uncertainti futur robust pathway uncertain framework scenario option assumpt long-term"
"26","agricultur africa south climat_agricultur african chang_agricultur agricultur_climat sub-saharan agricultur_chang west"
"27","sustain goal achiev sustain_manag sustain_goal chang_sustain climat_sustain toward sustain_develop sdgs"
"28","environment impact environ environment_climat climat_environment chang_environment environment_chang adapt_environment environment_environment environment_impact"
"29","decis make support decision-mak use maker tool can inform provid"
"30","resili build resili_chang resili_climat framework adapt_resili resili_system climat_resili chang_resili resili_adapt"
"31","degre warm temperatur increas centuri 1.5 degre_degre temperatur_degre mean 21st"
"32","sector public state fund privat financ role feder partnership reform"
"33","mitig climat_mitig strategi potenti mitig_chang mitig_climat can reduc chang_mitig measur"
"34","integr qualiti process strategi improv integr_manag implement studi analyt measur"
"35","climat chang climat_climat climat_chang chang_climat variabl affect climat_impact climat_can climat_use"
"36","region north northern eastern western east asia part region_climat region_chang"
"37","model simul use predict use_model model_model result coupl dynam model_use"
"38","map european europ mountain geograph locat central southern suitabl landslid"
"39","adapt climat_adapt strategi adapt_chang adapt_climat chang_adapt measur chang adapt_adapt chang_strategi"
"40","farmer strategi percept variabl farmer_climat climat pakistan data studi determin"
"41","green infrastructur solut space nature-bas benefit implement nbs gi urban_space"
"42","fire drainag wildfir runoff control stormwat california volum load burn"
"43","climat chang effect studi effect_chang climat_studi chang_studi effect_climat studi_climat climat_effect"
"44","polit social articl argu justic concept discours debat power question"
"45","heat temperatur thermal wave air mortal cold hot surfac summer"
"46","optim oper reservoir alloc rule harvest reliabl network rainwat algorithm"
"47","stakehold particip barrier engag collabor tourism involv interview participatori implement"
"48","urban citi climat_urban urban_urban urban_climat chang_urban urban_chang urban_manag urban_system citi_climat"
"49","risk climat_risk risk_climat risk_chang chang_risk reduc risk_risk risk_adapt manag_risk adapt_risk"
"50","disast natur reduct disast_reduct prepared hurrican hazard respons drr climat_disast"
"51","local municip local_climat level climat_local chang_local local_adapt adapt_local local_chang climat"
"52","carbon sequestr stock biomass storag net -1 co2 sink afforest"
"53","toler breed salin condit resist protein hybrid content cell high"
"54","knowledg process understand framework complex conceptu integr perspect approach context"
"55","polici climat_polici chang_polici polici_climat implement instrument eu adapt_polici polici_chang integr"
"56","capac adapt social capit capac_climat capac_chang stressor institut capac_adapt abil"
"57","transform learn innov outcom social theori lesson draw case social-ecolog"
"58","precipit season trend variabl temperatur annual winter signific summer indic"
"59","action behavior cultur concern behaviour chang motiv individu place heritag"
"60","technolog industri power generat demand electr suppli transfer chain fuel"
"61","peopl work educ societi group safeti agenc care place univers"
"62","river basin hydrolog flow lake watersh catchment streamflow dam discharg"
"63","dynam interact function respons wetland shift structur condit regim role"
"64","product maiz increas produc chang_product product_climat use harvest rotat climat_product"
"65","marin fish ocean fisheri coral reef sea aquacultur acidif freshwat"
"66","econom cost benefit invest growth economi trade reduc impact oil"
"67","project futur scenario climat chang climat_project downscal rcp repres climat_scenario"
"68","research scienc scientif field gap scientist need identifi question practition"
"69","stress gene plant express genotyp respons trait root regul mechan"
"70","restor mangrov disturb de ecosystem la climat_ecosystem regul ecosystem_chang ecosystem_climat"
"71","water groundwat suppli demand water_water surfac avail use aquif water_climat"
"72","tree plant growth seed leaf pine trait stomat seedl stand"
"73","household livelihood rural incom bangladesh poverti access strategi villag ghana"
"74","plan action climat adapt climat_plan implement mainstream chang_plan integr strateg"
"75","nation intern unit state climat agreement framework law legal pari"
"76","drought index sever climat_drought drought_drought condit use chang_drought drought_climat standard"
"77","chang climat respons chang_chang chang_climat respons_chang respond role chang_adapt climat_adapt"
"78","human activ anthropogen pressur degrad chang forc climat_human main chang_activ"
"79","practic adopt intervent gender women nepal chang_practic practic_climat improv use"
"80","energi build renew effici consumpt solar hous wind residenti construct"
"81","project market price mechan financi busi regul clean compani regulatori"
"82","chang increas decreas result climat runoff impact baselin show sensit"
"83","soil organ moistur mediterranean grassland soc graze degrad rangeland pastur"
"84","food secur livestock nutrit insecur diet anim climat_food consumpt chang_food"
"85","new time rapid evolut histori can evid record long-term movement"
"86","year total studi result per averag show 10 compar highest"
"87","challeng face address chang climat option approach need pose deal"
"88","ecosystem servic provid provis valu benefit chang_ecosystem support es provid_servic"
"89","countri term small one import aid share also second least"
"90","inform climat chang understand communic need help understand_chang relev climat_inform"
"91","system system_climat system_chang chang_system adapt_system integr system_adapt system_system system_use climat_system"
"92","forest deforest forestri redd tropic forest_forest forest_climat plantat chang_forest degrad"
"93","communiti indigen peopl tradit community-bas resourc communiti_climat adapt_communiti chang_communiti communiti_chang"
"94","irrig water use effici agricultur deficit water_irrig requir irrig_water evapotranspir"
"95","vulner vulner_chang index indic vulner_climat assess climat_vulner exposur sensit social"
"96","may increas effect chang direct consequ affect relat caus suggest"
"97","transport arctic road u. travel format control prevent includ disrupt"
"98","concentr increas -1 nutrient co2 nitrogen grain ha treatment fertil"
"99","hazard island pacif cyclon small gis high tropic exposur suscept"
"100","area spatial land-us use chang expans area_climat studi chang_area area_chang"
"101","year period decad past condit recent histor occur sever sinc"
"102","level estim high expect potenti probabl counti result us lower"
"103","data observ monitor forecast predict use remot sens resolut surfac"
"104","problem threat emerg conflict mani issu canada futur now opportun"
"105","ecolog landscap natur park connect wildlif territori resourc biolog seagrass"
"106","loss zone rate eros sediment million km increas caus due"
"107","migrat context assist frame mobil attent crisi displac reloc context_chang"
"108","evalu use method indic perform measur tool select can result"
"109","program limit requir need avail australia current howev common mani"
"110","impact chang impact_chang climat climat_impact potenti futur like impact_climat chang_impact"
"111","veget site type densiti cover composit gradient ratio differ along"
"112","land use cover chang land_chang cropland land_land chang_use chang_land climat_land"
"113","china et plateau index provinc veget studi arid show chines"
"114","farmer farm smallhold agricultur adopt use incom technolog diversif extens"
"115","percept survey public perceiv awar prefer resid respond attitud experi"
"116","approach analysi studi valu use case methodolog paper appli purpos"
"117","review literatur systemat articl paper evid focus gap discuss studi"
"118","govern institut network actor organ coordin adapt_govern arrang govern_climat climat_govern"
"119","extrem event weather extrem_event impact climat_extrem increas chang_extrem climat extrem_climat"
"120","temperatur respons thermal plastic elev physiolog rate bodi toler metabol"
