"","vocab"
"1","soil organ fertil nutrient nitrogen eros moistur soc -1 field"
"2","respons gene thermal express plastic toler metabol adapt physiolog regul"
"3","qualiti pollut transport air concentr mine exposur contamin sourc ozon"
"4","temperatur degre warm increas surfac air mean temperatur_degre increas_temperatur radiat"
"5","global warm degre global_chang climat_global 1.5 world global_climat level chang_global"
"6","effect increas reduc can result growth due affect negat howev"
"7","forest deforest forestri tropic redd forest_forest chang_forest forest_climat climat_forest forest_chang"
"8","sustain develop goal achiev resourc sustain_manag toward promot sustain_goal econom"
"9","right reserv elsevi elsevi_right elsevi_reserv ltd ltd_reserv b.v b.v_reserv publish"
"10","farmer farm adopt smallhold percept farmer_climat use coffe practic data"
"11","risk climat_risk risk_climat risk_chang chang_risk risk_risk risk_adapt adapt_risk manag_risk reduc_risk"
"12","challeng need address issu opportun problem face current requir barrier"
"13","social network conflict capit group dimens inequ equiti relat structur"
"14","environment migrat mobil environ displac environment_climat climat_environment chang_environment reloc environment_chang"
"15","local level local_climat climat_local chang_local local_adapt adapt_local local_chang local_manag bleach"
"16","water resourc suppli water_water demand water_manag avail scarciti chang_water climat_water"
"17","carbon sequestr biomass stock storag potenti sink -1 afforest estim"
"18","human natur ecolog chang popul dynam interact environ pressur anthropogen"
"19","resili resili_chang enhanc build resili_climat adapt_resili capac resili_system climat_resili chang_resili"
"20","system social-ecolog system_climat system_chang chang_system oper adapt_system complex system_adapt system_system"
"21","china area provinc show result signific chines increas base main"
"22","heat mortal wave exposur stress heatwav cool island death popul"
"23","groundwat lake surfac storag water et aquif salin recharg evapotranspir"
"24","co2 leaf respons phenolog effici elev plant water stomat conduct"
"25","method use estim perform evalu appli base valu propos distribut"
"26","approach framework propos design appli intervent conceptu methodolog applic context"
"27","urban citi area space climat_urban urban_urban urban_climat chang_urban urban_chang urban_manag"
"28","model simul optim use_model dynam use predict model_model result model_use"
"29","build design thermal hous perform construct residenti comfort environ built"
"30","crop yield product rice wheat maiz grain cultiv climat_crop date"
"31","review literatur gap systemat evid articl identifi report focus knowledg"
"32","conserv protect area biodivers wetland park connect divers network prioriti"
"33","emiss greenhous gas reduct co2 greenhous_emiss ghg reduc target reduc_emiss"
"34","veget livestock grassland product plateau arid graze ndvi program rangeland"
"35","percept public behavior survey insur perceiv experi individu prefer respond"
"36","river basin hydrolog flow reservoir watersh runoff catchment streamflow dam"
"37","factor import influenc activ role contribut play play_role relat determin"
"38","tree growth speci site stand pine plant climat plantat seedl"
"39","adapt climat_adapt adapt_chang adapt_climat chang_adapt capac chang adapt_adapt develop_adapt barrier"
"40","research field paper purpos find focus scienc topic origin climat_research"
"41","variabl predict forecast climat earli observ climat_variabl warn meteorolog wind"
"42","popul genet divers trait variat select seed adapt genom breed"
"43","spatial pattern landscap tempor distribut space heterogen densiti variat geograph"
"44","communiti knowledg indigen cultur tradit peopl community-bas communiti_climat resourc practic"
"45","state fire unit us wildfir canada california regim mexico u."
"46","disast hazard island natur reduct disast_reduct cyclon pacif prepared small"
"47","marin fish ocean fisheri coral reef sea arctic aquacultur acidif"
"48","mitig climat chang climat_mitig mitig_chang mitig_climat chang_mitig effort focus climat_paper"
"49","climat chang respons action nan climat_climat respons_chang respond need respons_climat"
"50","mountain delta record snow sediment glacier landslid ice histor past"
"51","futur scenario futur_chang climat_scenario current futur_climat pathway 2050 use futur_scenario"
"52","health diseas public human climat_health health_climat popul care children chang_health"
"53","stakehold scienc knowledg particip learn engag process collabor communic practic"
"54","differ two condit compar show type three result level relat"
"55","assess assess_climat assess_chang climat_assess report chang_assess ipcc brazil assess_impact panel"
"56","infrastructur green solut engin wastewat nature-bas benefit road implement nbs"
"57","european europ uk eu aim main germani territori spain itali"
"58","plan municip climat_plan develop chang_plan plan_chang plan_climat implement process plan_adapt"
"59","manag resourc practic manag_climat manag_chang chang_manag adapt_manag climat_manag manag_adapt de"
"60","impact measur impact_chang climat_impact impact_climat chang_impact negat implement impact_adapt studi_impact"
"61","chang climat chang_climat chang_chang climat_chang climat_climat affect effect_chang climat_studi may"
"62","polit transform articl argu justic frame practic transit power concept"
"63","household livelihood rural bangladesh poverti incom villag access nepal poor"
"64","govern institut capac actor innov organ initi level coordin adapt_govern"
"65","across scale larg within multipl rang driver understand e.g find"
"66","studi analysi case result use analyz base identifi reveal present"
"67","ecosystem servic restor function provid ecolog provis benefit valu regul"
"68","product impact cycl life environment wast use footprint assess oil"
"69","sector industri australia tourism busi australian compani oper paper cc"
"70","irrig effici use water water_irrig requir crop irrig_water water_effici area"
"71","flood damag hazard area flood_manag flood_flood measur risk_flood chang_flood climat_flood"
"72","agricultur product farm practic climat_agricultur technolog chang_agricultur agroforestri agricultur_climat agricultur_chang"
"73","vulner capac vulner_chang exposur vulner_climat sensit climat_vulner chang_vulner vulner_adapt adapt_vulner"
"74","region central northern north mediterranean asia southern region_climat region_chang america"
"75","data map monitor observ area remot sens use satellit dataset"
"76","rainfal drainag stormwat runoff control rainwat design harvest roof perform"
"77","climat model simul ensembl downscal rcp precipit increas concentr period"
"78","associ regress relationship use age data signific 95 studi sampl"
"79","precipit rainfal season trend annual signific period dri summer variat"
"80","speci habitat distribut rang invas suitabl shift potenti predict bird"
"81","new mani one nan also world may time can possibl"
"82","coastal rise sea level sea-level sea_rise coast storm eros mangrov"
"83","extrem event weather frequenc extrem_event intens increas climat_extrem chang_extrem occurr"
"84","drought sever climat_drought index condit drought_drought chang_drought drought_climat respons drought_water"
"85","project climat current climat_project project_climat project_chang potenti chang_project current_climat project_impact"
"86","decis uncertainti make decision-mak robust option maker flexibl uncertain pathway"
"87","polici climat_polici chang_polici polici_climat implement polici_chang instrument maker adapt_polici polici_adapt"
"88","integr trade-off ii nexus object synergi integr_manag iii integr_model link"
"89","africa south gender african women west sub-saharan east ghana kenya"
"90","energi electr technolog power renew consumpt generat demand effici fuel"
"91","countri nation develop intern technolog financ agreement fund mechan transfer"
"92","inform use provid tool can support develop applic avail improv"
"93","loss first set point damag second defin allow step account"
"94","year rate total averag per respect increas 10 period annual"
"95","stress plant toler genotyp breed improv root trait abiot condit"
"96","food secur product nutrit insecur diet climat_food chang_food consumpt food_climat"
"97","land use cover chang land-us land_chang area use_chang land_land expans"
"98","econom cost invest benefit market price valu financi trade economi"
"99","strategi cope climat_strategi chang_strategi strategi_climat strategi_chang adapt_strategi develop_strategi strategi_adapt cope_chang"
"100","indic index zone india high low use compon result cluster"
